CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
2,30,0,39,14,5,18,50,365,932,17,1
3,65,0,49,1,10,8,10,30,557,6,1
4,55,0,14,4,6,18,10,90,185,3,1
5,58,1,38,21,7,7,50,30,396,29,1
6,23,1,32,20,5,8,10,30,617,20,1
8,51,1,33,25,9,26,100,365,129,8,1
9,58,0,49,12,3,16,50,90,821,24,1
10,55,0,37,8,4,15,100,365,445,30,1
11,39,1,12,5,7,4,50,90,969,13,1
12,64,0,3,25,2,11,50,90,415,29,1
13,29,1,18,9,0,30,100,90,930,18,1
14,52,0,21,6,3,26,100,30,830,19,1
15,22,1,41,17,10,25,10,90,265,23,1
16,48,0,35,25,1,13,10,365,518,17,1
17,24,1,4,9,4,22,50,90,204,4,1
18,49,1,56,17,2,30,50,90,975,17,1
19,19,0,38,23,7,11,10,90,978,3,1
20,47,1,41,14,1,5,100,365,151,19,1
21,24,1,44,13,5,4,100,30,669,13,1
22,42,1,15,16,2,14,100,90,262,16,1
23,57,0,55,27,3,3,10,365,212,10,1
24,39,0,43,2,4,15,10,30,577,6,1
25,27,1,44,28,8,18,50,365,436,30,1
26,27,0,52,8,7,3,50,30,434,19,1
27,59,1,26,21,0,10,100,30,822,17,1
28,21,1,2,21,7,22,10,365,435,21,1
29,60,0,18,16,8,28,10,90,830,22,1
30,65,0,29,29,0,5,100,365,857,18,1
31,35,0,38,20,6,2,100,365,574,19,1
32,18,1,37,15,8,6,100,30,800,29,1
33,56,0,59,5,10,27,50,90,424,2,1
35,35,1,40,27,8,28,100,30,232,17,1
36,29,1,43,12,2,10,100,365,289,6,1
37,20,1,37,24,7,5,50,365,371,20,1
38,63,0,51,3,5,12,50,365,288,15,1
39,22,0,39,8,2,4,50,365,939,21,1
40,25,0,53,2,10,13,10,90,336,13,1
42,28,1,24,24,8,6,50,30,572,28,1
43,51,1,30,4,10,29,100,30,770,23,1
44,32,1,6,22,3,12,10,30,413,20,1
45,38,0,28,23,6,17,10,90,993,28,1
46,52,1,17,26,4,6,10,30,871,26,1
48,37,1,30,30,7,13,10,90,929,13,1
49,31,0,4,29,7,22,50,365,488,6,1
50,30,1,24,7,6,13,50,365,874,3,1
51,23,0,26,21,7,24,10,90,988,20,1
52,35,1,37,11,7,13,50,30,631,7,1
53,21,0,56,11,9,9,10,90,626,1,1
54,56,0,44,11,2,11,50,365,583,9,1
55,53,0,18,21,1,23,10,90,717,15,1
56,41,0,18,27,10,3,10,30,111,19,1
57,33,1,6,12,7,29,50,90,869,10,1
58,18,1,55,29,9,21,50,90,296,22,1
59,26,1,60,9,10,1,50,30,643,2,1
60,42,0,7,9,1,11,10,365,196,18,1
61,36,1,2,15,3,29,100,30,501,4,1
62,22,0,43,16,8,21,50,30,966,30,1
63,47,1,59,24,6,26,100,365,288,26,1
64,30,1,52,23,1,27,10,365,400,20,1
66,21,0,51,1,8,6,100,365,618,13,1
67,27,0,40,17,3,1,10,365,999,17,1
68,27,1,34,13,4,26,10,90,214,6,1
69,32,1,3,5,1,6,50,365,282,20,1
70,44,0,43,1,8,28,50,30,548,28,1
71,38,1,10,9,6,5,100,365,820,18,1
72,34,0,5,18,3,29,100,90,575,10,1
73,42,1,29,23,0,6,100,30,736,5,1
74,61,1,41,4,7,23,10,90,753,23,1
75,22,1,45,13,5,16,10,90,538,26,1
76,59,0,53,13,0,4,50,90,688,14,1
77,53,1,54,18,10,0,10,30,679,1,1
78,37,1,17,23,9,23,100,90,530,19,1
79,65,0,33,28,9,22,100,30,383,17,1
80,61,0,6,7,4,26,50,365,369,20,1
81,40,0,58,8,2,10,10,30,760,28,1
82,63,0,38,19,7,21,50,90,768,7,1
83,19,1,53,3,6,17,50,30,808,19,1
84,45,0,25,4,8,13,100,90,681,26,1
85,59,1,17,21,1,24,50,90,858,2,1
86,55,0,54,2,5,0,50,30,159,29,1
87,44,1,13,12,7,7,50,30,624,15,1
88,61,1,7,12,7,2,100,365,925,9,1
89,46,1,41,12,3,25,100,365,531,11,1
90,22,1,45,17,3,28,10,90,769,3,1
92,46,0,47,4,5,10,50,365,299,5,1
93,64,1,31,20,9,24,100,90,785,16,1
94,28,0,22,16,1,7,50,30,389,16,1
95,35,0,19,28,4,28,10,90,507,5,1
96,55,0,34,6,2,7,10,365,392,5,1
97,35,1,3,17,6,23,10,365,392,7,1
98,45,0,23,4,5,1,100,90,699,12,1
99,24,1,1,20,0,17,10,90,268,4,1
100,44,0,8,11,7,26,100,30,139,3,1
102,60,1,55,7,3,18,50,30,871,4,1
103,40,0,46,24,3,1,10,30,404,28,1
104,26,1,15,11,0,20,10,365,269,1,1
105,58,0,28,17,0,24,100,90,820,29,1
106,56,0,16,11,5,18,100,30,590,27,1
107,42,0,12,6,8,25,10,30,566,11,1
108,52,1,29,2,2,4,10,365,435,27,1
109,32,1,13,6,4,11,10,365,649,8,1
110,38,0,3,11,5,16,50,90,212,4,1
111,60,1,50,10,2,4,50,90,552,8,1
112,48,1,4,7,9,29,50,90,421,4,1
113,52,0,1,29,2,19,10,365,202,22,1
114,55,1,59,15,3,3,50,365,236,22,1
115,59,0,37,11,0,11,50,90,545,10,1
116,26,1,37,30,4,13,50,30,414,1,1
117,53,0,14,2,2,5,100,30,336,18,1
118,60,0,35,26,10,16,10,30,882,29,1
119,28,1,33,14,7,29,10,30,856,6,1
120,60,0,52,6,2,6,50,90,382,7,1
121,30,0,8,6,10,14,50,30,365,9,1
122,27,1,48,1,4,27,100,365,330,8,1
123,21,1,34,10,7,17,100,30,867,29,1
